visit_number,mean_Shannon,sd_Shannon,mean_Simpson,sd_Simpson,n
1,1.0514535765876003,0.7101851277651007,0.44275610238774127,0.28429662664322836,555
2,1.0694310594116816,0.7316869966346365,0.4402566010805272,0.2827611859127636,441
3,1.097900206570246,0.7536922090385306,0.4516062392456885,0.27848769848226035,364
4,1.1231413310625216,0.7897260518555839,0.45219104965118184,0.2909434906732094,296
5,1.1213162290315235,0.7719515320349323,0.4516427176764613,0.29060189605552933,161
6,1.1576152164171498,0.7730024426936695,0.47170644067712814,0.29216868933803297,77
7,1.3819855274638915,0.7706081965568686,0.5527287076600815,0.2644371157603355,44
8,1.3434662959256896,0.7037283735490639,0.5428643424222903,0.22497469769170056,26
9,1.4129287593952835,0.7591028657563084,0.5558030959567102,0.2492180788143493,22
10,1.5397227072611368,0.739219429604701,0.5886020934009093,0.2555114066392576,31
11,1.3854629557724214,0.8474671261765416,0.556655276671325,0.2719761525963795,12
12,0.951182739367628,0.6807495140054312,0.3979277341514004,0.28086090534486424,6
14,1.90992252890918,NA,0.803440820068984,NA,1
15,2.257345519681775,0.6944837318074466,0.7612712435342885,0.12957367599367126,2
17,1.74100944732499,NA,0.682749588233637,NA,1
18,0.7660279148838395,0.04087536848574257,0.4377877013882955,0.02532548459848542,2
20,0.660292275630299,NA,0.279562861658322,NA,1
