"sample_id","Shannon","Simpson","subject_id","visit_number","sample_body_site","study_full_name","project_name"
"ep003595_k10_mv1d",0.0896392940151568,0.022637678089427,"858ed4564f11795ec13dda4c10a0d657",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep004835_k10_mv1d",2.14248572883579,0.840171151767133,"e50d0c183689e4053ccb35f8b29d98c8",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep004835_k20_mv1d",1.67428467889118,0.640911663450627,"e50d0c183689e4053ccb35f8b29d98c8",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep004835_k30_mv1d",0.109135574192734,0.0271785005340509,"e50d0c183689e4053ccb35f8b29d98c8",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep004835_k40_mv1d",0.116671973140431,0.0299983709601818,"e50d0c183689e4053ccb35f8b29d98c8",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep004835_k50_mv1d",0.0838353758161393,0.0187728260703227,"e50d0c183689e4053ccb35f8b29d98c8",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep005972_k20_mv1d",0.811240199553573,0.44974363407241,"76612bd9a41885add4f6b0b7683fc062",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep005972_k30_mv1d",0.702676911376307,0.369088235692572,"76612bd9a41885add4f6b0b7683fc062",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep007214_k10_mv1d",1.05157675308941,0.556299291963164,"e50d0c183689e4053ccb35f8b29da3f1",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep007214_k20_mv1d",0.866540443044942,0.497703247086199,"e50d0c183689e4053ccb35f8b29da3f1",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep007214_k30_mv1d",1.94070417796775,0.735221374147719,"e50d0c183689e4053ccb35f8b29da3f1",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep007214_k40_mv1d",0.0962426834499551,0.0226114127364566,"e50d0c183689e4053ccb35f8b29da3f1",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep007214_k50_mv1d",0.40200838333572,0.122108934218797,"e50d0c183689e4053ccb35f8b29da3f1",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep007214_k60_mv1d",0.0884371482413259,0.0208243360343825,"e50d0c183689e4053ccb35f8b29da3f1",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep010982_k10_mv1d",1.27929829302082,0.642850370095716,"76612bd9a41885add4f6b0b7683fc62a",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep010982_k20_mv1d",1.15548819562749,0.530726479138123,"76612bd9a41885add4f6b0b7683fc62a",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep010982_k30_mv1d",1.30088069142041,0.649027145041023,"76612bd9a41885add4f6b0b7683fc62a",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep010982_k40_mv1d",1.69712106380984,0.7558890199534,"76612bd9a41885add4f6b0b7683fc62a",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep010982_k50_mv1d",0.742902886504736,0.312309960909475,"76612bd9a41885add4f6b0b7683fc62a",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep013002_k10_mv1d",0.505497319198501,0.252542081089142,"858ed4564f11795ec13dda4c10a0d72a",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep013002_k110_mv1d",1.21212867153508,0.595783897269438,"858ed4564f11795ec13dda4c10a0d72a",11,"vagina","momspi","Integrative Human Microbiome Project"
"ep013002_k20_mv1d",0.685256408414223,0.37502695576385,"858ed4564f11795ec13dda4c10a0d72a",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep013002_k30_mv1d",0.440637707108088,0.165896939771683,"858ed4564f11795ec13dda4c10a0d72a",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep013002_k40_mv1d",0.717681850004034,0.396404491976456,"858ed4564f11795ec13dda4c10a0d72a",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep013002_k50_mv1d",2.37847456304137,0.888468809073724,"858ed4564f11795ec13dda4c10a0d72a",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep013417_k10_mv1d",1.96986549821656,0.809164021914754,"858ed4564f11795ec13dda4c10a0e1f1",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep013417_k40_mv1d",1.59998251141486,0.709459541568362,"858ed4564f11795ec13dda4c10a0e1f1",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep013417_k50_mv1d",1.95558434338301,0.691879426278748,"858ed4564f11795ec13dda4c10a0e1f1",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep013894_k10_mv1d",1.57929280761183,0.599496675030492,"e50d0c183689e4053ccb35f8b29dac3b",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep013894_k20_mv1d",1.08518223059657,0.545321727717623,"e50d0c183689e4053ccb35f8b29dac3b",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep013894_k30_mv1d",1.72104865924523,0.572272009729545,"e50d0c183689e4053ccb35f8b29dac3b",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep013894_k40_mv1d",1.33593362454127,0.535007996699105,"e50d0c183689e4053ccb35f8b29dac3b",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep013894_k50_mv1d",1.02851183047029,0.573219704207945,"e50d0c183689e4053ccb35f8b29dac3b",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep013894_k60_mv1d",0.978817578699538,0.552635296914882,"e50d0c183689e4053ccb35f8b29dac3b",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep013894_k80_mv1d",1.23724802279466,0.535177092778887,"e50d0c183689e4053ccb35f8b29dac3b",8,"vagina","momspi","Integrative Human Microbiome Project"
"ep016061_k30_mv1d",1.63451450543437,0.698295413057566,"76612bd9a41885add4f6b0b7683fd30d",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep016061_k40_mv1d",1.30244855241104,0.587717160123758,"76612bd9a41885add4f6b0b7683fd30d",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep016916_k20_mv1d",1.94297154459464,0.774323932389871,"e50d0c183689e4053ccb35f8b29db9d8",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep016916_k30_mv1d",1.50958460607104,0.616804376098842,"e50d0c183689e4053ccb35f8b29db9d8",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep016916_k40_mv1d",1.72361290586698,0.735361716646518,"e50d0c183689e4053ccb35f8b29db9d8",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep016916_k50_mv1d",2.19214028952368,0.850193364737825,"e50d0c183689e4053ccb35f8b29db9d8",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep018067_k10_mv1d",1.50470108177065,0.70408347504492,"858ed4564f11795ec13dda4c10a0f10c",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep021899_k10_mv1d",0.797086197846632,0.31861178121849,"e50d0c183689e4053ccb35f8b29dc100",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep021899_k20_mv1d",1.40853307758219,0.634517103112124,"e50d0c183689e4053ccb35f8b29dc100",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep021899_k40_mv1d",0.361844987613448,0.148380736026276,"e50d0c183689e4053ccb35f8b29dc100",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep021899_k80_mv1d",1.07268123591177,0.531491876863033,"e50d0c183689e4053ccb35f8b29dc100",8,"vagina","momspi","Integrative Human Microbiome Project"
"ep023111_k20_mv1d",0.891446552470366,0.532825374142187,"76612bd9a41885add4f6b0b7683fd919",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep023111_k30_mv1d",1.14039313860795,0.579526500107195,"76612bd9a41885add4f6b0b7683fd919",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep023111_k40_mv1d",0.86153762130229,0.341051239669422,"76612bd9a41885add4f6b0b7683fd919",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep028055_k10_mv1d",0.14729847056016,0.0507262090037643,"76612bd9a41885add4f6b0b7683fe39d",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep028055_k30_mv1d",0.421261140446161,0.198793901430217,"76612bd9a41885add4f6b0b7683fe39d",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep028055_k40_mv1d",0.186171454686007,0.0612230112762057,"76612bd9a41885add4f6b0b7683fe39d",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep028055_k60_mv1d",0.349098879513988,0.137001227006627,"76612bd9a41885add4f6b0b7683fe39d",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep031863_k10_mv1d",0.364694237060292,0.159794143144383,"858ed4564f11795ec13dda4c10a0fd92",1,"vagina","momspi","Integrative Human Microbiome Project"
